Id,Label,Weight
先生,先生,1
地方,地方,2
风气,风气,3
孩子,孩子,8
身体,身体,4
部位,部位,2
命名,命名,3
大肠,大肠,1
长生,长生,1
心理,心理,2
母亲,母亲,2
身上,身上,1
父母,父母,1
名字,名字,2
电视,电视,1
连续剧,连续剧,1
人物,人物,1
小学同学,小学同学,1
朋友,朋友,1
羊栏,羊栏,1
小学,小学,1
饥饿,饥饿,1
记忆,记忆,1
事件,事件,1
故事,故事,1
胡乱,胡乱,1
姑姑,姑姑,1
名义,名义,1
事实,事实,1
龙口,龙口,1
煤矿,煤矿,1
优质,优质,1
煤块,煤块,9
断面,断面,1
人影,人影,1
村里,村里,2
车把式,车把式,1
马车,马车,6
县城,县城,1
方头,方头,1
粗颈,粗颈,1
口吃,口吃,1
讲话,讲话,1
精光,精光,1
儿子,儿子,5
女儿,女儿,4
同学,同学,4
双胎,双胎,1
姑娘,姑娘,1
大家,大家,2
肚子,肚子,1
营养,营养,1
放学,放学,1
书包,书包,1
铁锹,铁锹,1
车上,车上,2
铲煤,铲煤,2
脚脖子,脚脖子,1
腰间,腰间,1
回家,回家,3
初学,初学,1
走路,走路,1
婴孩,婴孩,1
父亲,父亲,2
职业,职业,2
飞机,飞机,1
体会,体会,1
尘土,尘土,1
驾辕,驾辕,1
军马,军马,1
军队,军队,1
炮弹,炮弹,1
战功,战功,1
屁股,屁股,3
烙印,烙印,1
脾气,脾气,2
公骡,公骡,1
飞蹄,飞蹄,1
伤人,伤人,1
骡子,骡子,6
气力,气力,1
速度,速度,1
村子,村子,1
儿童,儿童,1
门前,门前,1
脑袋,脑袋,2
双肩,双肩,1
碌碡,碌碡,1
双手,双手,1
胳膊,胳膊,1
头顶,头顶,1
头颅,头颅,1
车闸,车闸,1
双腿,双腿,1
车辕,车辕,1
鞭子,鞭子,2
血痕,血痕,1
脆响,脆响,1
工夫,工夫,1
浑身,浑身,1
地上,地上,1
嘴巴,嘴巴,1
泥土,泥土,1
书记,书记,1
好戏,好戏,1
路边,路边,1
石灰,石灰,2
头上,头上,1
老婆,老婆,1
指指点点,指指点点,1
议论,议论,2
棕色,棕色,1
眼睛,眼睛,2
目光,目光,3
无法,无法,1
力量,力量,1
学校,学校,2
伙房,伙房,4
煤堆,煤堆,3
香味,香味,1
味儿,味儿,2
土豆,土豆,1
嗅觉,嗅觉,1
校园,校园,1
过瘾,过瘾,1
地向,地向,1
伙夫,伙夫,4
妻子,妻子,2
器官,器官,1
文化,文化,2
原本,原本,1
公社,公社,5
畜牧,畜牧,1
错误,错误,1
食物,食物,2
兔崽子,兔崽子,1
奶头,奶头,1
建议,建议,2
骂人,骂人,1
吃奶,吃奶,2
半死,半死,1
乳房,乳房,1
肋骨,肋骨,1
理论,理论,1
低头,低头,1
地质,地质,1
爱好者,爱好者,1
矿石,矿石,1
鼻子,鼻子,4
废墟,废墟,1
鼻边,鼻边,1
思索,思索,2
问题,问题,1
对象,对象,1
手中,手中,1
块煤,块煤,2
香气,香气,1
舌头,舌头,1
圈儿,圈儿,1
样儿,样儿,1
门牙,门牙,2
猛烈地,猛烈地,1
表情,表情,2
脸上,脸上,3
大鼻子,大鼻子,1
汗珠,汗珠,1
煤灰,煤灰,1
声音,声音,2
伙计,伙计,2
小手,小手,1
样子,样子,1
滋味,滋味,2
半透明,半透明,1
浅黄色,浅黄色,1
琥珀,琥珀,1
自然课,自然课,2
世纪,世纪,1
地壳,地壳,1
森林,森林,2
校长,校长,5
金榜,金榜,1
课本上,课本上,1
绿色,绿色,1
黑色,黑色,1
煤炭,煤炭,1
课本,课本,2
学生,学生,1
女生,女生,2
游戏,游戏,1
神情,神情,1
粮库,粮库,1
保管员,保管员,1
手上,手上,2
面粉,面粉,2
教导,教导,1
乡下,乡下,1
驻点,驻点,1
干部,干部,3
细声细气,细声细气,1
大叔,大叔,2
小女孩,小女孩,1
小子,小子,1
车子,车子,1
扁担,扁担,1
脸色,脸色,1
课堂,课堂,1
老师,老师,7
嘴角,嘴角,1
煤末子,煤末子,1
男生,男生,1
盛宴,盛宴,1
牙周炎,牙周炎,1
黑板,黑板,1
几行字,几行字,1
质问,质问,1
排座位,排座位,1
小猫,小猫,1
讲台,讲台,1
手里,手里,1
乌鸦,乌鸦,5
狐狸,狐狸,4
树梢,树梢,1
树下,树下,1
太太,太太,1
歌声,歌声,1
歌唱,歌唱,1
全世界,全世界,1
鸟儿,鸟儿,1
口中,口中,1
课文,课文,1
医学院,医学院,1
毕业,毕业,1
医院,医院,1
外科,外科,1
大夫,大夫,1
铡草,铡草,1
手指,手指,1
